Category,Word,POS,Meaning,Example,Extra
自然地理,atmosphere,n.,大气层；氛围,The approaching examination created a tense atmosphere on the campus,
自然地理,hydrosphere,n.,水圈；大气中的水汽,All the water in the earth's surface is included in the hydrosphere,
自然地理,lithosphere,n.,岩石圈,The lithosphere and the hydrosphere together form the earth's surface,
自然地理,oxygen,n.,氧气,,
自然地理,oxide,n.,氧化物,,
自然地理,carbon dioxide,n.,二氧化碳,,
自然地理,hydrogen,n.,氢气,,
自然地理,core,n.,中心；核心；地核,,
自然地理,crust,n.,地壳；外壳,The crust on the snow was thick enough for us to walk on it,
自然地理,mantle,n./v.,地幔；斗篷；披风；覆盖,Parents often use mantles for their babies to keep warm,
自然地理,longitude,n.,经度,,
自然地理,latitude,n.,维度,,
自然地理,horizon,n.,地平线；[~s]眼界；见识,,horizontal adj. 水平的。broaden sb.'s horizons 开阔眼界
自然地理,altitude,n.,海拔；高度,,
自然地理,disaster,n.,灾难,There was a great flood disaster in East China,a disaster film/movie 灾难片
自然地理,mishap,n.,小灾难,A mishap prevented him from attending the routine company meeting,
自然地理,catastrophic,adj.,灾难性的,"If the forecast had been wrong, the consequences could have been catastrophic",
自然地理,calamity,n.,灾难；不幸的事,A hurricane would be a calamity for this low-lying coastal region,cause a calamity 酿成灾祸
自然地理,endanger,v.,使遭受危险；危及,"If you are work hard without reset, you will endanger your health",endangered adj. 濒临灭绝
自然地理,jeopardise/jeopardize,v.,危害；危及,"If you are rude to the boss, your chances of success may be jeopardised",jeopardise sb.'s life 危及某人生命
自然地理,destructive,adj.,破坏性的；有害的,Jealousy is an extremely destructive emotion,
自然地理,El Nino,n.,厄尔尼诺现象,,
自然地理,greenhouse,n.,温室；暖房,,
自然地理,phenomenon,n.,现象,Snow is an almost unknown phenomenon in Egypt,复数形式：phenomena；a natural phenomenon 自然现象；a social phenomenon 社会现象
自然地理,pebble,n.,鹅卵石,,
自然地理,magnet,n.,磁铁；吸铁石,He picked all the pins up with a magnet,magnetic adj./词的，有磁性的；有吸引力的
自然地理,ore,n.,矿石；矿,,
自然地理,mineral,n.,矿物；矿物质；矿场,,
自然地理,marble,n.,大理石,,
自然地理,quartz,n.,石英,,
自然地理,granite,n.,花岗岩,,bit on granite 白费力气；徒劳无功
自然地理,gust,n.,一整狂风；（情感的）迸发,A gust of wind blew the leaves off the trees,
自然地理,breeze,n.,微分；和风,,
